package name,command,repository,install by,os
aman,aman,,custom,linux
aman,aman,naruhiyo/aman,brew_tap,darwin
aria2,aria2,,apt,linux
aria2,aria2,,brew,darwin
atool,atool,,apt,linux
atool,atool,,brew,darwin
bat,bat,,apt,linux
bat,bat,,brew,darwin
cmake,cmake,,apt,linux
cmake,cmake,,brew,darwin
ffmpeg,ffmpeg,,apt,linux
ffmpeg,ffmpeg,,brew,darwin
font-hack-nerd-font,NO_COMMAND,,brew_cask,darwin
gcc,gcc,,apt,linux
git,git,,apt,linux
git,git,,brew,darwin
git-delta,delta,,brew,darwin
git-delta,delta,,custom,linux
google-chrome,NO_COMMAND,,brew_cask,darwin
jq,jq,,apt,linux
jq,jq,,brew,darwin
keychain,keychain,,apt,linux
peco,peco,,apt,linux
peco,peco,,brew,darwin
python3,python3,,apt,linux
python3,python3,,brew,darwin
python3-pip,pip3,,apt,linux
slack,NO_COMMAND,,brew_cask,darwin
spectacle,NO_COMMAND,,brew_cask,darwin
tmux,tmux,,apt,linux
tmux,tmux,,brew,darwin
tree,tree,,apt,linux
tree,tree,,brew,darwin
vim,vim,,apt,linux
visual-studio-code,NO_COMMAND,,brew_cask,darwin
wget,wget,,apt,linux
wget,wget,,brew,darwin
youtube-dl,youtube-dl,,apt,linux
youtube-dl,youtube-dl,,brew,darwin
zsh,zsh,,apt,linux
